"SALK_Line","SALK_line","line","sown","germ","percent","comment","Gene_Family","Gene","Source","Line_ID","Sub_Family","Gene_Name","Alternate_Gene_Name","Genomic_Locus.BAC.","Genomic_Locus_Tag","GI","Refseq_ID","Entrez_Gene_ID","Genbank_Nucleotide_Accession","Genbank_Protein_Accession","Protein_Function","Comments","Gene_Family_Criteria","Similar_Seq_or_Common_Domain","TAIR_Community_Accession_Person","TAIR_Community_Accession_Lab","TAIR_Publication_Reference","Pubmed_ID","Web_Page_URL","Web_Page_Title","gene.family.size","GeneFamilyName","delfield","cntrl"
"SALK_113353C","SALK_113353c","113353c",25,21,84,"","Homeobox Transcription Factor Family","AT4G32980","salk","SALK_113353","NULL","ATH1","NULL","NULL","At4g32980","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_115125C","SALK_115125c","115125c",15,14,93.33,"","Homeobox Transcription Factor Family","AT4G36740","salk","SALK_115125","NULL","NULL","NULL","NULL","At4g36740","NULL","NULL","NULL","NULL","NULL","NULL","homeodomain protein","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_118043C","SALK_118043c","118043c",12,4,33.33,"","Acyl Lipid Metabolism Family","AT5G64440","salk","SALK_118043","Fatty Acid Amide Hydrolase ","NULL","NULL","T12B11.3","At5g64440","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,"Acyl Lipid Metabolism Family",0,"Treatments"
"SALK_119315C","SALK_119315C","119315C",19,18,94.74,"","Glycoside Hydrolase Gene Families","AT5G42260","salk","SALK_119315","Glycoside Hydrolase Family 1","NULL","NULL","NULL","AT5g42260","NULL","BAB10199.1","NULL","NULL","NULL","beta-glucosidase","NULL","NULL","NULL","912146;912144;1012667","NULL","NULL","NULL","http://www.cazy.org/fam/acc_GH.html","Glycoside Hydrolases Family Server",258,"Glycoside Hydrolase Gene Families",0,"Treatments"
"SALK_120841C","SALK_120841C","120841C",11,8,72.73,"","C3H Transcription Factor Family","AT2G44580","salk","SALK_120841","NULL","NULL","NULL","NULL","At2g44580","NULL","NULL","NULL","NULL","NULL","NULL","putative RING zinc finger protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_121097C","SALK_121097c","121097c",11,9,81.82,"","Homeobox Transcription Factor Family","AT2G44910","salk","SALK_121097","NULL","Athb-4","NULL","NULL","At2g44910","NULL","NULL","NULL","NULL","NULL","NULL","homeobox-leucine zipper protein, Athb-4","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_122146C","SALK_122146c","122146c",13,1,7.69,"","MADS-box Transcription Factor Family","AT5G38620","salk","SALK_122146","NULL","AGL73","NULL","NULL","At5g38620","NULL","AY141237","NULL","NULL","NULL","M alpha","NULL","We exploited a hidden Markov model that produces a profile out of a multiple sequence alignment. A profile for MADS-box proteins was built to screen the Arabidopis genome to identify new members of this family. Only hits with a E value of <1 were considered to be members of the family. This analysis resulted in 107 MADS-box proteins, which could be sub-divided in type-I (Malpha, Mbeta, Mgamma) and type-II (MIKC, Mdelta) family members.","NULL","1501418015","NULL","501707748","12837945","NULL","NULL",62,"MADS-box Transcription Factor Family",0,"Treatments"
"SALK_124095C","SALK_124095c","124095c",13,7,53.85,"","Trihelix Transcription Factor Family","AT1G54060","salk","SALK_124095","NULL","NULL","NULL","NULL","At1g54060","NULL","NULL","NULL","NULL","NULL","NULL","expressed protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar sequences were identified, then they were aligned, and any mismatched sequences were discarded","NULL","NULL","1501423724","3674","9501260","http://arabidopsis.med.ohio-state.edu/","AGRIS",22,"Trihelix Transcription Factor Family",0,"Treatments"
"SALK_125264C","SALK_125264c","125264c",8,8,100,"","Glycoside Hydrolase Gene Families","AT1G76130","salk","SALK_125264","Glycoside Hydrolase Family 13","NULL","NULL","NULL","At1g76130","NULL","AAF17626.1","NULL","NULL","NULL","alpha-amylase, putative","NULL","NULL","NULL","912146;912144;1012667","NULL","NULL","NULL","http://www.cazy.org/fam/acc_GH.html","Glycoside Hydrolases Family Server",258,"Glycoside Hydrolase Gene Families",0,"Treatments"
"SALK_126600C","SALK_126600c","126600c",14,14,100,"","Acyl Lipid Metabolism Family","AT3G15850","salk","SALK_126600","Monogalactosyldiacylglycerol Desaturase (palmitate-specific, FAD5)","NULL","NULL","MSJ11.25","At3g15850","NULL","NULL","NULL","NULL","NULL","fatty acid desaturase family protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,"Acyl Lipid Metabolism Family",0,"Treatments"
"SALK_127261C","SALK_127261c","127261c",13,8,61.54,"","Homeobox Transcription Factor Family","AT1G17920","salk","SALK_127261","NULL","NULL","NULL","NULL","At1g17920","NULL","NULL","NULL","NULL","NULL","NULL","homeobox protein, putative","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_127828C","SALK_127828c","127828c",13,5,38.46,"","Homeobox Transcription Factor Family","AT1G05230","salk","SALK_127828","NULL","NULL","NULL","NULL","At1g05230","NULL","NULL","NULL","NULL","NULL","NULL","homeodomain protein","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_129274C","SALK_129274c","129274c",12,12,100,"","C3H Transcription Factor Family","AT3G26730","salk","SALK_129274","NULL","NULL","NULL","NULL","At3g26730","NULL","NULL","NULL","NULL","NULL","NULL","RING zinc finger protein, putative","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_132285C","SALK_132285c","132285c",12,12,100,"","basic region leucine zipper (bZIP) Transcription Factor","AT3G10800","salk","SALK_132285","NULL","BZIP28","NULL","T7M13.12","AT3G10800","NULL","AJ419850","NULL","NULL","NULL","bZIP family transcription factor; contains Pfam profile: PF00170 bZIP transcription factor; contains similarity to TGACG-sequence specific DNA-binding protein TGA-1B (HSBF) GB:P14233 (Nicotiana tabacum) ","NULL","Sequences encoding functionally charcterised basic-region leucine-zipper (bZIP) transcription factors were used to define a common motive in the bZIP DNA binding domain. With this motive, several databases have been searched manually. The 75 genes that were identified were subdivided into 11 groups according to the similarity of the aminoacid sequence within the bZIP domain and by taking into account additional conserved, group-specific amino acid motives. For more information please refer to the following article: Jakoby et al. (2002) bZIP transcription factors in Arabidopsis. Trends in Plant Science 3: 106-111","NULL","10799;6272","NULL","1547369","11906833","NULL","NULL",46,"basic region leucine zipper (bZIP) Transcription Factor",0,"Treatments"
"SALK_133498C","SALK_133498c","133498c",11,4,36.36,"","Glycoside Hydrolase Gene Families","AT1G75940","salk","SALK_133498","Glycoside Hydrolase Family 1","ATA27","NULL","NULL","At1g75940","NULL","AAF26759.1","NULL","NULL","NULL","beta-glucosidase, putative","NULL","NULL","NULL","912146;912144;1012667","NULL","NULL","NULL","http://www.cazy.org/fam/acc_GH.html","Glycoside Hydrolases Family Server",258,"Glycoside Hydrolase Gene Families",0,"Treatments"
"SALK_134535C","SALK_134535c","134535c",13,6,46.15,"","Homeobox Transcription Factor Family","AT2G01430","salk","SALK_134535","NULL","Athb-17","NULL","NULL","At2g01430","NULL","NULL","NULL","NULL","NULL","NULL","putative homeodomain transcription factor","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_134703C","SALK_134703c","134703c",12,10,83.33,"","Trihelix Transcription Factor Family","AT5G01380","salk","SALK_134703","NULL","GT-3a","NULL","NULL","At5g01380","NULL","NULL","NULL","NULL","NULL","NULL","NULL","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar sequences were identified, then they were aligned, and any mismatched sequences were discarded","NULL","NULL","1501423724","3674","9501260","http://arabidopsis.med.ohio-state.edu/","AGRIS",22,"Trihelix Transcription Factor Family",0,"Treatments"
"SALK_135114C","SALK_135114c","135114c",11,11,100,"","C3H Transcription Factor Family","AT2G22120","salk","SALK_135114","NULL","NULL","NULL","NULL","At2g22120","NULL","NULL","NULL","NULL","NULL","NULL","hypothetical protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_135544C","SALK_135544c","135544c",13,10,76.92,"","basic region leucine zipper (bZIP) Transcription Factor","AT4G37730","salk","SALK_135544","NULL","BZIP07","NULL","T28I19.10","AT4G37730","NULL","AI992458","NULL","NULL","NULL","bZIP family transcription factor; contains Pfam profile: PF00170 bZIP transcription factor ","NULL","Sequences encoding functionally charcterised basic-region leucine-zipper (bZIP) transcription factors were used to define a common motive in the bZIP DNA binding domain. With this motive, several databases have been searched manually. The 75 genes that were identified were subdivided into 11 groups according to the similarity of the aminoacid sequence within the bZIP domain and by taking into account additional conserved, group-specific amino acid motives. For more information please refer to the following article: Jakoby et al. (2002) bZIP transcription factors in Arabidopsis. Trends in Plant Science 3: 106-111","NULL","10799;6272","NULL","1547369","11906833","NULL","NULL",46,"basic region leucine zipper (bZIP) Transcription Factor",0,"Treatments"
"SALK_138872C","SALK_138872c","138872c",18,9,50,"","basic region leucine zipper (bZIP) Transcription Factor","AT4G34000","salk","SALK_138872","NULL","BZIP37","ABF3","F28A23.230","AT4G34000","NULL","AF093546","NULL","NULL","NULL","abscisic acid responsive elements-binding factor(ABF3); identical to abscisic acid responsive elements-binding factor (ABF3) GI:6739280 from (Arabidopsis thaliana) ","NULL","Sequences encoding functionally charcterised basic-region leucine-zipper (bZIP) transcription factors were used to define a common motive in the bZIP DNA binding domain. With this motive, several databases have been searched manually. The 75 genes that were identified were subdivided into 11 groups according to the similarity of the aminoacid sequence within the bZIP domain and by taking into account additional conserved, group-specific amino acid motives. For more information please refer to the following article: Jakoby et al. (2002) bZIP transcription factors in Arabidopsis. Trends in Plant Science 3: 106-111","NULL","10799;6272","NULL","1547369","11906833","NULL","NULL",46,"basic region leucine zipper (bZIP) Transcription Factor",0,"Treatments"
"SALK_140350C","SALK_140350c","140350c",13,11,84.62,"","Homeobox Transcription Factor Family","AT1G52150","salk","SALK_140350","NULL","ATHB-15","CAN","NULL","At1g52150","NULL","NULL","NULL","NULL","NULL","NULL","HD-Zip transcription factor","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_141554C","SALK_141554c","141554c",13,11,84.62,"","Homeobox Transcription Factor Family","AT4G17710","salk","SALK_141554","NULL","NULL","NULL","NULL","At4g17710","NULL","NULL","NULL","NULL","NULL","NULL","GLABRA2 like protein","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_142877C","SALK_142877c","142877c",13,9,69.23,"","C3H Transcription Factor Family","AT4G33940","salk","SALK_142877","NULL","NULL","NULL","NULL","At4g33940","NULL","NULL","NULL","NULL","NULL","NULL","Expressed protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_142894C","SALK_142894c","142894c",12,3,25,"","C3H Transcription Factor Family","AT5G54990","salk","SALK_142894","NULL","NULL","NULL","NULL","At5g54990","NULL","NULL","NULL","NULL","NULL","NULL","putative protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_144264C","SALK_144264c","144264c",12,12,100,"","Homeobox Transcription Factor Family","AT3G19510","salk","SALK_144264","NULL","HAT3.1","NULL","NULL","At3g19510","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_144638C","SALK_144638c","144638c",13,11,84.62,"","Trihelix Transcription Factor Family","AT5G03680","salk","SALK_144638","NULL","PETAL","LOSS","NULL","At5g03680","NULL","NULL","NULL","NULL","NULL","NULL","GT2 -like protein, PETAL LOSS","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar sequences were identified, then they were aligned, and any mismatched sequences were discarded","NULL","NULL","1501423724","3674","9501260","http://arabidopsis.med.ohio-state.edu/","AGRIS",22,"Trihelix Transcription Factor Family",0,"Treatments"
"SALK_145362C","SALK_145362c","145362c",16,12,75,"","Trihelix Transcription Factor Family","AT5G14540","salk","SALK_145362","NULL","NULL","NULL","NULL","At5g14540","NULL","NULL","NULL","NULL","NULL","NULL","putative protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar sequences were identified, then they were aligned, and any mismatched sequences were discarded","NULL","NULL","1501423724","3674","9501260","http://arabidopsis.med.ohio-state.edu/","AGRIS",22,"Trihelix Transcription Factor Family",0,"Treatments"
"SALK_148182C","SALK_148182c","148182c",15,14,93.33,"","C3H Transcription Factor Family","AT5G66070","salk","SALK_148182","NULL","NULL","NULL","NULL","At5g66070","NULL","NULL","NULL","NULL","NULL","NULL","unknown protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_149150C","SALK_149150c","149150c",14,12,85.71,"","Glycoside Hydrolase Gene Families","AT4G11050","salk","SALK_149150","Glycoside Hydrolase Family 9","NULL","NULL","NULL","AT4g11050","NULL","AAC35539.1","NULL","NULL","NULL","putative glucanase","NULL","NULL","NULL","912146;912144;1012667","NULL","NULL","NULL","http://www.cazy.org/fam/acc_GH.html","Glycoside Hydrolases Family Server",258,"Glycoside Hydrolase Gene Families",0,"Treatments"
"SALK_149325C","SALK_149325c","149325c",14,14,100,"","Acyl Lipid Metabolism Family","AT4G15440","salk","SALK_149325","Hydroperoxide Lyase","NULL","NULL","FCAALL.125","At4g15440","NULL","NULL","NULL","NULL","NULL","hydroperoxide lyase (HPOL) like protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,"Acyl Lipid Metabolism Family",0,"Treatments"
"SALK_149402C","SALK_149402c","149402c",13,7,53.85,"","Homeobox Transcription Factor Family","AT2G23760","salk","SALK_149402","NULL","BLH4","NULL","NULL","At2g23760","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_150522C","SALK_150522c","150522c",10,3,30,"","Cytochrome P450","AT1G74550","salk","SALK_150522","CYP98A","CYP98A9","NULL","F1M20_23","AT1G74550","18410643","NM_106115","NULL","NULL","NULL","putative cytochrome P450","NULL","Arabidopsis genes were considered P450 if their amino acid sequences fell into one of the following sequence similarity categories (Family inclusion: >40%, Subfamily inclusion: >55%, Allelic variant inclusion: >95%) and contained the three key amino acid signature motifs  (the PERF consensus (PXRX), the K-helix (XEXXR), he heme-binding motif (only the Cystein is required to be in the correct location)) located torwards the C-terminus.","NULL","958;912138;4512","NULL","NULL","NULL","http://www.p450.kvl.dk/;http://drnelson.utmem.edu/Arablinks.html;http://arabidopsis-p450.biotec.uiuc.edu/","Arabidopsis P450 site at PlaCe;Dr. Nelson's Arabidopsis P450s site;Functional Genomics of Arabidopsis P450s",136,"Cytochrome P450",0,"Treatments"
"SALK_150987C","SALK_150987c","150987c",19,15,78.95,"","C3H Transcription Factor Family","AT2G15530","salk","SALK_150987","NULL","NULL","NULL","NULL","At2g15530","NULL","NULL","NULL","NULL","NULL","NULL","putative RING zinc finger protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_CS60000","SALK_cs60000","cs60000",15,13,86.67,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0,"Control"
"SALK_CS60000","SALK_cs60000","cs60000",15,14,93.33,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0,"Control"
"SALK_CS60000","SALK_cs60000","cs60000",15,14,93.33,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0,"Control"
"SALK_CS60000","SALK_cs60000","cs60000",15,15,100,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0,"Control"
"SALK_CS60000","SALK_cs60000","cs60000",15,10,66.67,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0,"Control"
"SALK_CS60000","SALK_cs60000","cs60000",15,15,100,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0,"Control"
"SALK_CS60000","SALK_cs60000","cs60000",15,14,93.33,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0,"Control"
"SALK_CS60000","SALK_cs60000","cs60000",15,14,93.33,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0,"Control"
"SALK_CS60000","SALK_cs60000","cs60000",15,14,93.33,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0,"Control"
"SALK_CS60000","SALK_cs60000","cs60000",15,12,80,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0,"Control"
